City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Lyaskelya,61.7667,31.0167,38.88,65,98,2.73,RU,2022-05-20 20:35:54
126,Cabo San Lucas,22.8909,-109.9124,84.61,41,0,10.36,MX,2022-05-20 20:34:42
127,Adrar,20.5022,-10.0711,91.49,7,87,7.27,MR,2022-05-20 20:35:54
128,Vila Franca Do Campo,37.7167,-25.4333,63.01,81,93,5.06,PT,2022-05-20 20:35:55
129,Coxim,-18.5067,-54.76,67.28,35,0,1.61,BR,2022-05-20 20:35:55
130,Udomlya,57.8794,34.9925,36.72,73,98,4.56,RU,2022-05-20 20:35:56
131,Mayo,38.8876,-76.5119,91.78,73,40,10.36,US,2022-05-20 20:35:56
132,Westport,41.1415,-73.3579,70.86,58,74,9.69,US,2022-05-20 20:32:08
133,Maxixe,-23.8597,35.3472,72.39,89,100,9.19,MZ,2022-05-20 20:35:57
134,Gadu,17.6292,121.6105,75.18,91,100,2.1,PH,2022-05-20 20:35:57
135,Saint-Philippe,-21.3585,55.7679,72.99,82,40,11.41,RE,2022-05-20 20:35:58
136,Tuatapere,-46.1333,167.6833,45.72,82,96,18.25,NZ,2022-05-20 20:35:58
137,Tagusao,9.1924,117.8141,79.93,83,97,4.12,PH,2022-05-20 20:35:58
138,Kodiak,57.79,-152.4072,45.91,76,100,17.27,US,2022-05-20 20:35:59
139,Dikson,73.5069,80.5464,27.1,88,100,4.9,RU,2022-05-20 20:36:00
140,Suraabad,40.8192,49.4687,58.77,67,100,5.88,AZ,2022-05-20 20:37:01
141,Sangar,63.9242,127.4739,40.06,71,7,2.42,RU,2022-05-20 20:37:01
142,Tahoua,14.8888,5.2692,89.67,28,41,6.87,NE,2022-05-20 20:37:02
143,Micheweni,-4.9667,39.8333,77.58,86,81,10.18,TZ,2022-05-20 20:37:02
144,Leiva,1.9339,-77.3025,70.41,80,96,3.8,CO,2022-05-20 20:37:03
145,Upernavik,72.7868,-56.1549,29.95,80,72,11.7,GL,2022-05-20 20:37:03
146,Perelyub,51.8667,50.3667,44.42,84,100,12.48,RU,2022-05-20 20:37:04
147,Bom Jesus,-9.0744,-44.3586,82.13,42,61,3.71,BR,2022-05-20 20:37:04
148,Port-Gentil,-0.7193,8.7815,80.56,83,75,10.36,GA,2022-05-20 20:37:05
149,Ust-Ilimsk,58.0006,102.6619,53.73,93,91,2.62,RU,2022-05-20 20:37:05
150,Hailar,49.2,119.7,51.87,39,4,7.27,CN,2022-05-20 20:37:06
151,Manakara,-22.1333,48.0167,69.24,76,79,3.44,MG,2022-05-20 20:37:06
152,Havoysund,70.9963,24.6622,41.23,91,100,10.96,NO,2022-05-20 20:37:07
153,Belomorsk,64.5232,34.7668,33.06,71,94,4.05,RU,2022-05-20 20:37:07
154,Khatanga,71.9667,102.5,31.17,83,100,10.2,RU,2022-05-20 20:37:08
155,Albany,42.6001,-73.9662,78.89,59,98,1.99,US,2022-05-20 20:37:08
156,Kurush,41.2841,47.8345,26.76,98,100,1.54,RU,2022-05-20 20:37:09
157,Castro,-24.7911,-50.0119,48.69,74,0,3.91,BR,2022-05-20 20:37:09
158,Ambon,-3.6954,128.1814,75.34,94,40,2.3,ID,2022-05-20 20:37:10
159,Antalaha,-14.9003,50.2788,71.26,89,25,8.66,MG,2022-05-20 20:37:10
160,Grindavik,63.8424,-22.4338,53.55,76,75,6.91,IS,2022-05-20 20:37:10
161,Clyde River,70.4692,-68.5914,25.03,80,100,10.36,CA,2022-05-20 20:37:11
162,Guayabal,5.031,-74.8868,85.3,68,49,4.36,CO,2022-05-20 20:37:11
163,Flin Flon,54.7682,-101.865,37.24,56,100,10.36,CA,2022-05-20 20:37:12
164,West Bay,19.3667,-81.4167,86.07,75,20,13.8,KY,2022-05-20 20:37:12
165,Hasaki,35.7333,140.8333,64.8,75,100,9.78,JP,2022-05-20 20:37:13
166,Deep River,46.1001,-77.4995,81.95,51,80,13.62,CA,2022-05-20 20:37:13
167,Coahuayana,18.7333,-103.6833,89.1,42,13,8.19,MX,2022-05-20 20:37:14
168,Liku,-0.7275,119.8922,74.91,92,100,1.25,ID,2022-05-20 20:37:14
169,Sisimiut,66.9395,-53.6735,38.95,54,100,6.08,GL,2022-05-20 20:37:15
170,Port Elizabeth,-33.918,25.5701,57.49,97,100,8.05,ZA,2022-05-20 20:35:27
171,Talnakh,69.4865,88.3972,42.21,83,100,8.43,RU,2022-05-20 20:37:15
172,Carutapera,-1.195,-46.02,74.88,93,100,3.22,BR,2022-05-20 20:37:16
173,Little Current,45.9793,-81.9248,62.42,81,73,17.78,CA,2022-05-20 20:37:16
174,Margate,51.3813,1.3862,54.3,83,30,5.99,GB,2022-05-20 20:37:00
175,Korla,41.7597,86.1469,73.89,27,63,11.34,CN,2022-05-20 20:37:17
176,Francisco Sa,-16.4758,-43.4883,75.34,23,55,4.83,BR,2022-05-20 20:37:18
177,Nguruka,-5.1092,31.0419,65.52,67,99,2.8,TZ,2022-05-20 20:37:18
178,Tateyama,34.9833,139.8667,67.08,80,100,8.16,JP,2022-05-20 20:37:18
179,Salalah,17.0151,54.0924,84.29,84,75,6.91,OM,2022-05-20 20:37:19
180,Pevek,69.7008,170.3133,32.92,97,79,5.48,RU,2022-05-20 20:37:19
181,Pitimbu,-7.4706,-34.8086,82.99,82,90,6.4,BR,2022-05-20 20:37:20
182,Santa Luzia,-19.7697,-43.8514,69.08,33,0,4.61,BR,2022-05-20 20:35:24
183,Masingbi,8.7833,-11.95,75.7,96,100,2.89,SL,2022-05-20 20:37:21
184,Plouzane,48.3833,-4.6167,57.52,91,75,6.91,FR,2022-05-20 20:37:21
185,Ponta Do Sol,32.6667,-17.1,68.72,83,56,1.9,PT,2022-05-20 20:37:21
186,Alghero,40.5589,8.3181,64.49,72,0,5.75,IT,2022-05-20 20:37:22
187,Skjervoy,70.0311,20.9714,39.2,75,15,8.19,NO,2022-05-20 20:37:22
188,Storm Lake,42.6411,-95.2097,66.34,39,73,21.85,US,2022-05-20 20:38:23
189,Solnechnyy,50.7214,136.6319,43.66,99,100,3.13,RU,2022-05-20 20:38:23
190,Mashpee,41.6484,-70.4811,71.92,76,0,9.22,US,2022-05-20 20:38:24
191,Bilibino,68.0546,166.4372,37.53,84,20,2.55,RU,2022-05-20 20:38:24
192,Hilo,19.7297,-155.09,93.27,78,75,8.05,US,2022-05-20 20:38:25
193,Oranjemund,-28.55,16.4333,53.26,88,0,6.24,NA,2022-05-20 20:38:25
194,Bubaque,11.2833,-15.8333,79.25,80,7,19.8,GW,2022-05-20 20:38:26
195,Butaritari,3.0707,172.7902,81.54,71,14,17.81,KI,2022-05-20 20:38:26
196,Sebastian,35.1668,-94.2669,90.9,55,11,10.16,US,2022-05-20 20:38:27
197,Namibe,-15.1961,12.1522,67.82,68,17,8.43,AO,2022-05-20 20:38:27
198,Kavieng,-2.5744,150.7967,81.99,78,93,10.85,PG,2022-05-20 20:38:27
199,Meiganga,6.5167,14.3,65.14,93,100,0.31,CM,2022-05-20 20:38:28
200,Safford,32.834,-109.7076,88.72,10,0,12.66,US,2022-05-20 20:38:28
201,Lorengau,-2.0226,147.2712,81.66,79,92,10.09,PG,2022-05-20 20:38:29
202,Havre,49.5833,0.3333,56.97,77,0,11.5,FR,2022-05-20 20:38:29
203,Arlit,18.7369,7.3853,87.89,25,50,6.76,NE,2022-05-20 20:38:31
204,Warrington,53.3925,-2.5802,57.31,82,40,11.5,GB,2022-05-20 20:38:32
205,Geraldton,-28.7667,114.6,54.01,94,0,10.36,AU,2022-05-20 20:38:33
206,Mar Del Plata,-38.0023,-57.5575,59.95,64,0,11.5,AR,2022-05-20 20:34:33
207,Mahebourg,-20.4081,57.7,76.24,83,40,8.05,MU,2022-05-20 20:38:34
208,Cordoba,-31.4135,-64.1811,74.25,25,0,10.36,AR,2022-05-20 20:35:28
209,Makakilo City,21.3469,-158.0858,80.19,88,100,4.61,US,2022-05-20 20:38:34
210,Richards Bay,-28.783,32.0377,68.14,87,74,9.37,ZA,2022-05-20 20:38:35
211,Saldanha,-33.0117,17.9442,51.85,70,2,16.31,ZA,2022-05-20 20:38:35
212,Bilma,18.6853,12.9164,91.11,13,70,8.39,NE,2022-05-20 20:38:36
213,Neiafu,-18.65,-173.9833,79.61,78,94,15.5,TO,2022-05-20 20:38:36
214,Hokitika,-42.7167,170.9667,45.82,87,98,3.15,NZ,2022-05-20 20:38:37
215,Kuryk,43.2,51.65,59.79,67,100,20.29,KZ,2022-05-20 20:38:37
216,Mitu,1.1983,-70.1733,79.68,73,57,2.35,CO,2022-05-20 20:38:38
217,Husavik,66.0449,-17.3389,51.98,66,91,7.47,IS,2022-05-20 20:38:38
218,Gigmoto,13.7796,124.39,80.37,85,100,8.61,PH,2022-05-20 20:38:39
219,Cornwall,45.0181,-74.7281,84.16,47,0,16.11,CA,2022-05-20 20:38:39
220,Najran,17.4924,44.1277,79.45,13,4,2.57,SA,2022-05-20 20:36:39
221,Altay,47.8667,88.1167,58.05,54,5,7.52,CN,2022-05-20 20:38:40
222,Carnarvon,-24.8667,113.6333,68.67,65,0,13.33,AU,2022-05-20 20:38:40
223,Albania,41.0,20.0,61.75,65,5,3.13,AL,2022-05-20 20:36:01
224,Okakarara,-20.5833,17.4333,43.34,22,0,7.96,NA,2022-05-20 20:38:42
225,Sao Filipe,14.8961,-24.4956,74.14,70,72,8.72,CV,2022-05-20 20:38:43
226,Kharitonovo,61.4009,47.4978,33.1,83,100,6.4,RU,2022-05-20 20:38:43
227,Kodinsk,58.6881,99.1844,50.25,73,58,2.77,RU,2022-05-20 20:38:44
228,Balkhash,46.844,74.9804,68.5,35,53,16.8,KZ,2022-05-20 20:38:44
229,Constitucion,-35.3333,-72.4167,56.52,76,0,6.33,CL,2022-05-20 20:38:44
230,Sohag,26.557,31.6948,89.89,19,100,16.6,EG,2022-05-20 20:38:45
231,Juneau,58.3019,-134.4197,64.85,67,0,10.36,US,2022-05-20 20:37:46
232,Myaundzha,63.0494,147.1858,29.19,93,99,2.73,RU,2022-05-20 20:38:46
233,Gizo,-8.103,156.8419,82.35,74,7,6.24,SB,2022-05-20 20:39:46
234,Nabire,-3.3667,135.4833,75.07,91,21,2.91,ID,2022-05-20 20:39:47
235,Calamar,10.2511,-74.9146,85.03,72,100,8.43,CO,2022-05-20 20:39:47
236,Tautira,-17.7333,-149.15,79.45,72,12,8.61,PF,2022-05-20 20:39:48
237,Tres Arroyos,-38.3739,-60.2798,53.24,52,100,7.67,AR,2022-05-20 20:39:48
238,Coihueco,-36.6167,-71.8333,59.74,59,40,6.91,CL,2022-05-20 20:39:48
239,Cherskiy,68.75,161.3,51.15,50,8,16.24,RU,2022-05-20 20:39:49
240,Kaitangata,-46.2817,169.8464,45.3,82,69,18.97,NZ,2022-05-20 20:39:49
241,Klaksvik,62.2266,-6.589,49.12,97,100,16.51,FO,2022-05-20 20:39:50
242,Krasnoturansk,54.3186,91.5639,51.53,90,57,4.76,RU,2022-05-20 20:39:50
243,Garowe,8.4054,48.4845,86.49,43,71,23.06,SO,2022-05-20 20:39:51
244,Padang,-0.9492,100.3543,76.95,87,34,3.06,ID,2022-05-20 20:39:51
245,Shelopugino,51.6514,117.5599,45.05,53,28,2.98,RU,2022-05-20 20:39:52
246,Parana,-31.732,-60.5238,66.51,63,0,7.23,AR,2022-05-20 20:39:52
247,San Cristobal,7.7669,-72.225,80.78,47,26,6.82,VE,2022-05-20 20:39:53
248,Marietta,33.9526,-84.5499,90.7,46,75,13.8,US,2022-05-20 20:39:53
249,Cinisi,38.1562,13.1073,67.21,72,0,9.22,IT,2022-05-20 20:39:53
250,Sitka,57.0531,-135.33,55.29,71,0,4.61,US,2022-05-20 20:39:54
251,Yaan,7.3833,8.5667,78.55,67,94,4.5,NG,2022-05-20 20:39:54
252,Isangel,-19.55,169.2667,78.69,84,88,21.39,VU,2022-05-20 20:39:55
253,Cascais,38.6979,-9.4215,80.46,53,0,13.8,PT,2022-05-20 20:39:55
254,Chara,56.9064,118.2631,43.09,83,77,2.84,RU,2022-05-20 20:39:56
255,Tezu,27.9167,96.1667,68.56,92,84,3.06,IN,2022-05-20 20:39:56
256,Goderich,43.7501,-81.7165,77.32,65,81,19.57,CA,2022-05-20 20:39:57
257,Jinchang,38.4953,102.1739,65.07,31,70,5.57,CN,2022-05-20 20:39:57
258,Kyra,49.5776,111.9753,52.84,49,3,4.97,RU,2022-05-20 20:39:58
259,Pimentel,-6.8367,-79.9342,73.69,60,0,19.57,PE,2022-05-20 20:39:58
260,Waipawa,-41.4122,175.5153,46.36,70,0,12.41,NZ,2022-05-20 20:39:58
261,Broome,42.2506,-75.833,79.18,50,20,14.97,US,2022-05-20 20:39:59
262,Sobolevo,54.4299,31.8996,47.5,96,100,12.26,RU,2022-05-20 20:39:59
263,Sabha,27.0377,14.4283,75.65,31,0,17.52,LY,2022-05-20 20:40:00
264,Capitan Bado,-23.2667,-55.5333,55.51,62,0,6.42,PY,2022-05-20 20:40:01
265,Martapura,-3.4167,114.85,74.55,96,100,0.6,ID,2022-05-20 20:40:01
266,Sao Felix Do Xingu,-6.6447,-51.995,75.99,74,46,1.48,BR,2022-05-20 20:40:02
267,Kulim,5.365,100.5618,80.15,90,64,2.8,MY,2022-05-20 20:40:03
268,Lensk,60.7253,114.9278,41.13,95,34,2.46,RU,2022-05-20 20:40:03
269,Norman Wells,65.282,-126.8329,55.44,44,75,6.91,CA,2022-05-20 20:40:04
270,Cap Malheureux,-19.9842,57.6142,76.46,70,10,7.0,MU,2022-05-20 20:40:04
271,Cao Bang,22.6667,106.25,68.38,96,100,0.38,VN,2022-05-20 20:36:11
272,Zeya,53.75,127.2667,46.71,75,12,2.95,RU,2022-05-20 20:40:05
273,Atbasar,51.8,68.3333,57.76,66,100,10.31,KZ,2022-05-20 20:40:06
274,Pulandian,39.3953,121.9669,56.37,89,5,5.26,CN,2022-05-20 20:40:06
275,Ahuimanu,21.4447,-157.8378,81.36,84,40,9.22,US,2022-05-20 20:40:07
276,Kenai,60.5544,-151.2583,68.02,32,0,16.11,US,2022-05-20 20:40:07
277,Imphal,24.8167,93.95,65.62,90,84,2.04,IN,2022-05-20 20:39:19
278,Aguililla,18.7333,-102.7333,95.18,18,33,3.94,MX,2022-05-20 20:40:08
279,Tilichiki,60.4667,166.1,37.54,88,100,2.55,RU,2022-05-20 20:40:08
280,Mount Gambier,-37.8333,140.7667,39.11,100,14,0.0,AU,2022-05-20 20:40:09
281,Viseu,40.661,-7.9097,75.11,40,100,6.4,PT,2022-05-20 20:41:09
282,Iqaluit,63.7506,-68.5145,29.93,92,100,11.5,CA,2022-05-20 20:41:10
283,Dongsheng,39.8161,109.9776,61.02,37,61,6.78,CN,2022-05-20 20:41:10
284,Coihaique,-45.5752,-72.0662,48.15,93,75,4.61,CL,2022-05-20 20:41:11
285,Severo-Kurilsk,50.6789,156.125,43.36,89,100,9.08,RU,2022-05-20 20:41:11
286,Coquimbo,-29.9533,-71.3436,65.93,68,0,12.66,CL,2022-05-20 20:41:12
287,Tsaratanana,-16.7833,47.65,70.75,74,94,9.78,MG,2022-05-20 20:41:12
288,Jinji,23.2281,110.8261,72.27,96,90,2.01,CN,2022-05-20 20:41:13
289,Merauke,-8.4667,140.3333,77.04,82,10,9.8,ID,2022-05-20 20:41:14
290,Henties Bay,-22.116,14.2845,56.59,80,0,18.92,NA,2022-05-20 20:41:14
291,Itarema,-2.9248,-39.9167,78.48,85,100,6.67,BR,2022-05-20 20:41:15
292,Gorontalo,0.5412,123.0595,75.4,93,100,1.54,ID,2022-05-20 20:37:15
293,Taybad,34.74,60.7756,73.67,26,0,5.84,IR,2022-05-20 20:41:15
294,Magadan,59.5667,150.8,34.54,98,100,20.51,RU,2022-05-20 20:41:16
295,Carballo,43.213,-8.691,67.42,89,65,5.12,ES,2022-05-20 20:41:16
296,Port Augusta,-32.5,137.7667,47.84,72,0,7.25,AU,2022-05-20 20:41:17
